842,104,104,104
363,105,105,105
897,239,239,239
502,108,108,108
354,246,246,246
284,112,112,112
385,75,75,75
615,85,85,85
80,80,80,80
485,117,117,117
89,75,75,75
760,176,176,176
404,126,126,126
188,134,134,134
525,169,169,169
34,34,34,34
221,145,145,145
152,50,50,50
284,102,102,102
105,87,87,87
768,82,82,82
314,144,144,144
468,132,132,132
435,57,57,57
409,127,127,127
136,60,60,60
607,203,203,203
237,119,119,119
715,93,93,93
284,126,126,126
181,133,133,133
502,94,94,94
419,183,183,183
536,140,140,140
798,32,32,32
131,61,61,61
400,120,120,120
605,333,333,333
188,72,72,72
437,111,111,111
593,129,129,129
268,134,134,134
397,143,143,143
611,143,143,143
457,121,121,121
346,116,116,116
301,79,79,79
282,122,122,122
188,128,128,128
54,18,18,18
378,84,84,84
277,213,213,213
357,45,45,45
48,48,48,48
409,69,69,69
441,159,159,159
231,61,61,61
334,296,296,296
588,50,50,50
488,26,26,26
97,97,97,97
394,256,256,256
443,89,89,89
187,123,123,123
280,138,138,138
729,167,167,167
550,162,162,162
487,119,119,119
588,98,98,98
98,98,98,98
558,94,94,94
495,65,65,65
183,61,61,61
278,188,188,188
676,100,100,100
173,121,121,121
481,183,183,183
43,43,43,43
724,164,164,164
508,134,134,134
702,130,130,130
425,131,131,131
632,182,182,182
73,33,33,33
442,56,56,56
372,142,142,142
542,94,94,94
488,138,138,138
389,147,147,147
348,52,52,52
402,70,70,70
853,61,61,61
857,89,89,89
672,170,170,170
529,93,93,93
475,71,71,71
230,36,36,36
553,79,79,79
177,127,127,127
382,140,140,140
893,51,51,51
812,88,88,88
285,115,115,115
716,140,140,140
832,72,72,72
399,65,65,65
336,96,96,96
354,108,108,108
828,216,216,216
439,261,261,261
266,98,98,98
433,129,129,129
529,139,139,139
243,25,25,25
425,129,129,129
648,148,148,148
97,79,79,79
141,139,139,139
409,39,39,39
417,151,151,151
856,94,94,94
171,37,37,37
363,189,189,189
539,65,65,65
281,145,145,145
495,173,173,173
530,16,16,16
735,109,109,109
808,112,112,112
211,103,103,103
661,97,97,97
62,60,60,60
292,140,140,140
755,105,105,105
769,193,193,193
381,83,83,83
650,114,114,114
236,120,120,120
306,154,154,154
430,4,4,4
660,116,116,116
107,101,101,101
813,213,213,213
288,132,132,132
670,144,144,144
444,86,86,86
